,mukey,om,cec,ph
328,403266,0.0,18.0,7.0
329,3182556,5.0,26.0,7.0
330,3182562,4.0,25.0,7.0
331,3182568,0.0,18.0,8.0
332,2669024,1.0,29.0,7.0
333,403266,2.0,25.0,6.0
334,396157,0.0,17.0,7.0
335,3182562,0.0,18.0,8.0
336,3004698,0.0,14.0,8.0
337,403236,2.0,21.0,6.0
338,399803,2.0,20.0,7.0
339,403236,0.0,2.0,6.0
340,399777,0.0,17.0,7.0
341,403268,0.0,30.0,7.0
342,396157,2.0,18.0,7.0
343,399778,1.0,22.0,8.0
344,183054,0.0,24.0,6.0
345,183054,0.0,28.0,6.0
346,403236,0.0,18.0,6.0
347,403266,0.0,18.0,6.0
348,3182556,4.0,25.0,7.0
349,399804,3.0,20.0,6.0
350,1596039,6.0,30.0,6.0
351,2669024,1.0,16.0,8.0
352,2745864,1.0,23.0,7.0
353,399803,4.0,20.0,7.0
354,399803,0.0,18.0,7.0
355,403268,0.0,35.0,6.0
356,435686,0.0,19.0,8.0
357,3182557,0.0,18.0,8.0
358,3182568,0.0,18.0,8.0
359,3182557,0.0,20.0,8.0
360,1596035,0.0,14.0,7.0
361,399778,2.0,20.0,6.0
362,1150813,1.0,16.0,8.0
363,2669022,0.0,12.0,8.0
364,399776,4.0,20.0,7.0
365,403234,0.0,20.0,7.0
366,399774,0.0,15.0,8.0
367,403232,2.0,25.0,7.0
368,396132,1.0,31.0,6.0
369,403232,1.0,24.0,7.0
370,435526,1.0,11.0,6.0
371,403269,18.0,46.0,6.0
372,1150810,1.0,6.0,8.0
373,2669022,2.0,15.0,8.0
374,403232,1.0,13.0,7.0
375,183054,0.0,19.0,8.0
376,3182562,0.0,18.0,8.0
377,403240,2.0,6.0,6.0
378,403266,2.0,13.0,6.0
379,2669022,2.0,15.0,8.0
380,403232,2.0,12.0,7.0
381,2669024,0.0,12.0,8.0
382,403266,0.0,35.0,6.0
383,399779,2.0,17.0,8.0
384,399778,1.0,19.0,7.0
385,396157,5.0,31.0,7.0
386,403234,0.0,16.0,8.0
387,403212,0.0,6.0,6.0
388,183024,1.0,24.0,6.0
389,1612280,1.0,19.0,7.0
390,399776,0.0,18.0,7.0
391,183054,1.0,28.0,6.0
392,183054,0.0,29.0,8.0
393,403266,0.0,18.0,6.0
394,3182562,0.0,18.0,8.0
395,399803,0.0,15.0,8.0
396,399778,0.0,15.0,8.0
397,403232,8.0,26.0,7.0
398,403266,3.0,18.0,6.0
399,1596039,0.0,13.0,8.0
400,3182557,4.0,25.0,8.0
401,399787,1.0,22.0,8.0
402,396153,2.0,34.0,7.0
403,3182562,4.0,25.0,7.0
404,3182557,6.0,30.0,7.0
405,244688,0.0,22.0,6.0
406,2518531,0.0,21.0,8.0
407,403232,0.0,15.0,8.0
408,2669024,1.0,29.0,7.0
409,399800,1.0,21.0,7.0
410,399804,3.0,23.0,6.0
411,3182562,5.0,26.0,7.0
412,209019,0.0,18.0,7.0
413,183054,4.0,20.0,7.0
414,2668945,0.0,17.0,7.0
415,403266,4.0,19.0,6.0
416,399792,3.0,23.0,6.0
417,403268,0.0,18.0,6.0
418,1596035,2.0,28.0,6.0
419,403269,0.0,16.0,7.0
420,399779,0.0,17.0,7.0
421,403266,4.0,19.0,6.0
422,399802,4.0,20.0,7.0
423,399802,0.0,18.0,7.0
424,399803,2.0,20.0,6.0
